"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 20 22:15:37 GMT 2022","Mon Jun 20 22:15:38 GMT 2022","974","","TestPortio","","TestPortio","loginWrongPasswordTest","Sikertelen Sign in helytelen passworddel","Bejelentkezés helytelen jelszóval"
"passed","Mon Jun 20 22:14:20 GMT 2022","Mon Jun 20 22:14:33 GMT 2022","12901","","TestPortio","","TestPortio","blogTest","Blog oldal lista lapozás ellenőrzése","Blog összes bejegyzés lapozás"
"passed","Mon Jun 20 22:14:33 GMT 2022","Mon Jun 20 22:14:34 GMT 2022","1361","","TestPortio","","TestPortio","loginSuccessfulTest","Sikeres Sign in helyes adatokkal","Bejelentkezés a regisztrációnál megadottakkal egyező adatokkal"
"failed","Mon Jun 20 22:15:38 GMT 2022","Mon Jun 20 22:15:39 GMT 2022","800","","TestPortio","","TestPortio","registrationEmptyEverythingTest","Regisztráció üres adatokkal","Regisztráció üres adatokkal"
"passed","Mon Jun 20 22:15:10 GMT 2022","Mon Jun 20 22:15:11 GMT 2022","876","","TestPortio","","TestPortio","registrationTest","Regisztráció helyes adatok kitöltésével","Regisztráció az összes adat helyes kitöltésével"
"passed","Mon Jun 20 22:15:39 GMT 2022","Mon Jun 20 22:15:39 GMT 2022","459","","TestPortio","","TestPortio","termsAndConditionsExitTest","Terms and Conditions kilépés","A Terms and conditions kilépés gombjának megnyomása"
"passed","Mon Jun 20 22:15:41 GMT 2022","Mon Jun 20 22:15:42 GMT 2022","1535","","TestPortio","","TestPortio","deleteProfileLogoutTest","Profil törlése automatikus kijelentkezés","Regisztrált profil törlése az adatbázisból, automatikus kijelentkezés ellenőrzése"
"passed","Mon Jun 20 22:14:59 GMT 2022","Mon Jun 20 22:15:10 GMT 2022","11007","","TestPortio","","TestPortio","loginEmptyTest","Sikertelen Sign in üres adatokkal","Bejelentkezés üres adatokkal"
"failed","Mon Jun 20 22:14:17 GMT 2022","Mon Jun 20 22:14:17 GMT 2022","524","","TestPortio","","TestPortio","termsAndConditionsMainTextTest","Terms and Conditions szöveg tartalma","A Terms and conditions szöveg tartalmának ellenőrzése, összehasonlítás egy .txt fájllal"
"passed","Mon Jun 20 22:15:26 GMT 2022","Mon Jun 20 22:15:37 GMT 2022","11045","","TestPortio","","TestPortio","loginWrongUserTest","Sikertelen Sign in helytelen username-el","Bejelentkezés helytelen felhasználóvévvel"
"passed","Mon Jun 20 22:14:17 GMT 2022","Mon Jun 20 22:14:18 GMT 2022","527","","TestPortio","","TestPortio","termsAndConditionsClickToSideTest","Terms and conditions ablakon kívül kattintás","Azt teszteli, hogy eltűnik-e a Terms and conditions ablak, ha azon kívülre kattintunk"
"passed","Mon Jun 20 22:15:39 GMT 2022","Mon Jun 20 22:15:41 GMT 2022","1399","","TestPortio","","TestPortio","logOutTest","Logout","Kijelentkezés"
"passed","Mon Jun 20 22:14:18 GMT 2022","Mon Jun 20 22:14:20 GMT 2022","1520","","TestPortio","","TestPortio","headingFontTest","Heading szövegstílus ellenőrzése","Az oldalon konzisztens a heading-ek szövegstílusa, betűtípusa"
"passed","Mon Jun 20 22:15:13 GMT 2022","Mon Jun 20 22:15:26 GMT 2022","12949","","TestPortio","","TestPortio","blogTitlesToFileTest","Blog oldal tartalom ellenőrzése","Blog összes bejegyzés cím ellenőrzése"
"passed","Mon Jun 20 22:14:18 GMT 2022","Mon Jun 20 22:14:18 GMT 2022","451","","TestPortio","","TestPortio","navigateTest","Navigáció az oldalra","Ez a teszt a helyes url címre navigálást fedi le"
"passed","Mon Jun 20 22:15:11 GMT 2022","Mon Jun 20 22:15:13 GMT 2022","1703","","TestPortio","","TestPortio","deleteProfileTest","Profil törlése ellenőrzése","Regisztrált profil törlése az adatbázisból, törlés ellenőrzése"
"passed","Mon Jun 20 22:15:11 GMT 2022","Mon Jun 20 22:15:11 GMT 2022","500","","TestPortio","","TestPortio","termsAndConditionsAcceptTest","Terms and Conditions elfogadása","A Terms and conditions elfogadása"
"passed","Mon Jun 20 22:14:34 GMT 2022","Mon Jun 20 22:14:59 GMT 2022","24849","","TestPortio","","TestPortio","registerMultipleTest","Sorozatos reisztráció","Sorozatos regisztráció fájlból adatokkal"
"failed","Mon Jun 20 22:14:15 GMT 2022","Mon Jun 20 22:14:17 GMT 2022","1841","","TestPortio","","TestPortio","registrationEmptyDescriptionTest","Regisztráció Description mező üresen hagyva","Regisztráció helyes adatokkal, a Description mező üresen hagyva"
